,SalesID,SalePrice,YearMade,MachineHoursCurrentMeter
222,1139965,26500,2005,2493.0
223,1139969,27000,1979,7456.0
224,1139977,10000,2002,3295.0
225,1139978,102000,2005,2848.0
226,1139980,15500,2005,400.0
227,1139982,56000,2002,1505.0
229,1139994,38000,2002,2551.0
230,1139997,82000,2002,5494.0
231,1140003,27000,1997,6658.0
232,1140009,46000,1998,12785.0
233,1140013,46000,1998,5813.0
234,1140018,28500,1998,2585.0
235,1140025,9500,2004,1079.0
236,1140027,12500,2000,1030.0
237,1140030,18000,2005,97.0
238,1140033,53000,2000,5525.0
239,1140038,25500,1997,1121.0
243,1140049,33000,1995,5468.0
245,1140051,34000,2004,1843.0
246,1140055,12500,2002,1703.0
247,1140058,9750,2000,1813.0
248,1140065,30000,2003,3272.0
249,1140066,26500,1976,2571.0
250,1140068,36000,2002,4231.0
252,1140075,99000,2006,422.0
253,1140077,29000,1999,2914.0
254,1140081,85000,2005,1187.0
255,1140084,24500,1992,2963.0
257,1140089,18000,2003,891.0
258,1140090,36000,1997,16707.0
260,1140096,8500,1994,11578.0
261,1140103,20500,2002,6292.0
263,1140112,61000,2000,6681.0
265,1140115,42000,1997,10154.0
267,1140127,39000,2003,1862.0
268,1140134,9500,2001,3850.0
269,1140136,24000,2006,970.0
270,1140142,71000,2007,2092.0
271,1140146,12000,1999,1719.0
272,1140161,71000,2005,993.0
273,1140166,75000,2006,3337.0
274,1140170,18000,1982,8128.0
275,1140174,14500,1997,7654.0
276,1140175,8500,1996,3117.0
277,1140177,30500,2003,275.0
279,1140191,25000,1998,2750.0
280,1140197,20500,1976,342.0
282,1140199,36000,2004,6021.0
283,1140206,27000,1994,7482.0
285,1140210,81000,1998,14967.0
286,1140211,75000,2001,7099.0
287,1140212,35500,2007,2213.0
288,1140215,30000,2001,9224.0
289,1140216,52000,2006,2189.0
290,1140217,39000,2005,763.0
291,1140219,42000,2000,9519.0
293,1140225,23000,1998,2961.0
294,1140227,11000,2004,2252.0
295,1140228,17000,2005,130.0
296,1140230,77000,1994,6699.0
297,1140231,34000,2000,1666.0
298,1140232,77000,2005,2647.0
299,1140233,19500,2004,1601.0
300,1140234,18500,2005,759.0
301,1140235,14000,2001,1596.0
302,1140236,54000,2007,970.0
303,1140237,38000,2002,6290.0
306,1140252,97000,2006,2977.0
307,1140256,121000,2004,3478.0
309,1140261,109000,2002,7052.0
310,1140264,14000,2001,908.0
312,1140266,33000,2004,1374.0
313,1140267,16000,2005,675.0
314,1140271,26000,1996,11604.0
315,1140274,11500,1994,4650.0
319,1140282,36000,2000,1260.0
320,1140285,40000,2003,6109.0
321,1140291,13500,1999,868.0
322,1140295,10000,1990,1145.0
324,1140301,33000,2007,1362.0
325,1140304,45000,2001,5101.0
326,1140306,34000,1998,3550.0
327,1140309,86000,2000,9003.0
328,1140312,24500,2000,4050.0
329,1140316,23000,2005,407.0
331,1140321,10000,2004,1426.0
332,1140326,89000,2005,8995.0
333,1140333,11500,2002,2895.0
334,1140338,37000,1997,7859.0
335,1140339,26000,2005,1470.0
336,1140343,38000,2001,1344.0
338,1140346,30500,2001,800.0
339,1140350,17500,2000,1539.0
341,1140362,9000,2003,505.0
342,1140367,12500,1993,6924.0
344,1140373,13000,1989,7115.0
345,1140376,18500,1997,28112.0
346,1140377,16500,2002,616.0
348,1140393,62500,1991,6181.0
349,1140396,23000,1998,3075.0
351,1140404,58000,2000,8467.0
352,1140405,12500,2003,2126.0
353,1140409,14750,2004,399.0
354,1140410,68000,2005,1877.0
355,1140411,10000,1999,7066.0
356,1140413,36000,1997,6349.0
357,1140419,50000,2006,1418.0
358,1140421,53000,2002,18196.0
359,1140424,68000,1997,5007.0
360,1140425,11000,2007,120.0
361,1140426,41000,1999,1255.0
362,1140429,72000,2004,1068.0
363,1140434,26500,2001,5130.0
364,1140435,53000,2005,559.0
365,1140442,141000,2000,7990.0
366,1140443,9500,2001,527.0
367,1140445,11000,2004,502.0
368,1140449,21500,1995,8675.0
369,1140452,28500,2006,2289.0
371,1140459,19500,2001,2464.0
372,1140463,93000,2001,1793.0
373,1140465,9500,2004,1968.0
374,1140466,10000,1999,1040.0
376,1140485,13500,1996,10672.0
377,1140486,11350,2008,135.0
379,1140491,37000,1996,13463.0
380,1140492,72000,1994,24827.0
381,1140497,23000,2005,4678.0
382,1140501,32000,1994,4170.0
383,1140503,37000,2004,906.0
384,1140508,59000,2002,2179.0
385,1140510,11000,2005,10925.0
386,1140511,32500,1994,9443.0
387,1140513,67000,2004,9072.0
388,1140519,18000,2000,1657.0
389,1140523,31500,2000,2460.0
390,1140524,37000,2000,2929.0
391,1140525,72000,1995,14002.0
392,1140527,72000,2002,2784.0
393,1140536,40000,2002,11778.0
394,1140540,6000,2001,1316.0
395,1140546,38500,2004,2197.0
396,1140549,19500,1999,2820.0
399,1140553,11000,2005,926.0
401,1140566,32000,1992,847.0
404,1140578,89000,2002,2764.0
405,1140583,15000,2003,1033.0
406,1140584,95000,2000,7543.0
408,1140590,61000,2007,2338.0
409,1140591,64000,1998,9201.0
412,1140597,78000,2002,6137.0
413,1140604,36000,2004,1575.0
415,1140614,57000,1997,12682.0
416,1140622,28000,2000,7541.0
417,1140623,18000,1995,5811.0
418,1140628,7500,2002,2161.0
419,1140629,23500,2001,7361.0
420,1140638,14000,2003,907.0
422,1140641,31500,1998,3723.0
423,1140646,62000,2003,1659.0
424,1140652,49000,1995,35782.0
425,1140654,18000,2004,6.0
426,1140656,9000,2004,3068.0
427,1140660,40000,1999,9189.0
428,1140662,6250,1999,852.0
429,1140664,35000,2004,3593.0
432,1140667,17000,2004,5850.0
433,1140669,28500,2000,5193.0
434,1140671,95000,1999,12827.0
435,1140673,44000,1997,4729.0
437,1140679,24000,2002,4559.0
439,1140685,19000,1989,5225.0
440,1140689,34000,2005,3150.0
442,1140698,43000,1996,12759.0
443,1140699,15000,1997,6073.0
444,1140702,18500,2006,201.0
445,1140703,48000,1995,17309.0
446,1140716,10000,2004,739.0
447,1140720,65000,2005,2288.0
451,1140742,34000,2005,2396.0
453,1140747,51000,2000,3600.0
454,1140749,44000,1996,914.0
455,1140753,25000,2000,9132.0
456,1140757,37000,2005,6997.0
457,1140759,16500,2002,2207.0
458,1140763,29000,2005,996.0
459,1140765,8000,1999,1759.0
460,1140770,25500,2004,4745.0
461,1140771,6750,2002,2393.0
462,1140774,18500,2005,469.0
463,1140783,19000,1991,6820.0
464,1140784,30000,2005,1630.0
465,1140785,13000,1998,1694.0
466,1140786,57000,2000,6495.0
467,1140789,25500,2003,1819.0
468,1140792,11500,2000,6108.0
469,1140793,37000,2006,1971.0
471,1140801,69000,2001,5046.0
472,1140802,34000,1996,8303.0
473,1140808,29000,1998,11709.0
474,1140814,18000,1999,4034.0
475,1140817,19000,2004,244.0
477,1140826,12000,2005,1185.0
478,1140828,89000,2004,9275.0
479,1140831,40000,2004,453.0
480,1140832,13000,1996,644.0
483,1140847,74000,1993,11369.0
486,1140858,87000,2006,2605.0
487,1140860,50500,1997,4655.0
489,1140868,8000,2005,2295.0
490,1140871,38000,2004,1669.0
491,1140878,62000,2001,5232.0
492,1140880,74000,2005,8677.0
493,1140882,18500,2001,1055.0
494,1140898,17500,2003,209.0
497,1140904,33000,2005,2771.0
499,1140913,70000,2005,10946.0
500,1140914,23000,2002,1723.0
501,1140916,64000,2003,6984.0
502,1140917,17000,1988,6648.0
504,1140920,13500,2005,360.0
505,1140923,26000,1999,1866.0
506,1140928,19500,2005,171.0
507,1140930,5000,1996,2102.0
508,1140939,66000,2002,3023.0
509,1140944,24000,1999,2378.0
510,1140959,24500,2004,3120.0
512,1140969,13500,1997,9224.0
513,1140972,14500,2005,321.0
516,1140978,20500,2003,3308.0
517,1140981,48500,2002,5859.0
518,1140984,102000,2007,2584.0
523,1141003,50000,2005,1725.0
524,1141008,15000,2006,1077.0
526,1141016,45000,1987,15260.0
528,1141018,17500,2007,1535.0
529,1141019,79000,2005,406.0
530,1141020,11500,2004,1770.0
531,1141021,99000,1994,7948.0
532,1141022,14500,1996,9956.0
533,1141025,25000,1991,1566.0
534,1141026,13000,2004,661.0
535,1141027,44000,1996,7259.0
537,1141030,25000,1989,1033.0
538,1141031,11000,1997,4844.0
541,1141041,71000,2006,3183.0
542,1141045,12500,2005,776.0
543,1141050,55000,2005,2559.0
545,1141067,56000,1997,3748.0
546,1141068,88000,2004,5169.0
547,1141073,30000,1999,16608.0
548,1141074,30000,1978,26372.0
549,1141079,70000,2003,191.0
550,1141082,23500,2000,3311.0
551,1141083,12000,2004,2224.0
553,1141090,25500,2000,2122.0
554,1141094,18000,2002,147.0
555,1141097,11000,1999,3428.0
558,1141101,23000,2005,214.0
560,1141113,14500,2002,1202.0
561,1141115,84000,2000,6126.0
563,1141118,18000,2002,1558.0
564,1141121,70000,1998,15996.0
565,1141123,26000,2004,1947.0
567,1141129,43000,2000,10427.0
569,1141131,34000,1999,8557.0
572,1141137,43000,2002,5508.0
573,1141140,10000,1993,1056.0
576,1141147,13500,2002,293.0
577,1141152,55000,2005,253.0
578,1141166,56000,2003,6184.0
579,1141167,29000,2001,4272.0
580,1141168,24000,2006,37.0
581,1141172,35000,2005,2513.0
582,1141176,33000,2007,123.0
585,1141183,30500,2003,220.0
586,1141185,119000,2000,4997.0
587,1141186,87500,2003,11751.0
588,1141189,30000,1979,21148.0
590,1141199,15500,2002,487.0
591,1141202,28500,2000,1813.0
593,1141207,25000,1999,4269.0
594,1141208,47000,2000,3242.0
595,1141213,43000,1983,3624.0
596,1141219,83000,2006,1628.0
597,1141225,65000,2002,10418.0
598,1141229,32000,2003,956.0
599,1141233,39000,2000,10097.0
600,1141234,13500,1993,7756.0
601,1141237,28000,2004,1550.0
602,1141239,26500,2002,3876.0
603,1141240,34000,2001,1918.0
604,1141242,47000,2001,5247.0
607,1141252,10000,2001,848.0
608,1141253,77000,1998,1788.0
610,1141262,10500,2003,575.0
611,1141266,12500,2006,2357.0
612,1141267,46000,2006,1582.0
613,1141271,83000,1997,5788.0
615,1141275,36000,2000,2148.0
616,1141278,128000,2004,8930.0
617,1141282,10500,1998,1899.0
618,1141284,18000,2003,88.0
619,1141287,17000,2001,5725.0
620,1141297,86000,2004,2120.0
621,1141299,19000,2000,2269.0
623,1141303,18000,2005,1031.0
624,1141307,68000,2007,2248.0
625,1141309,6500,2003,3237.0
626,1141310,12000,2002,7738.0
627,1141311,37000,2002,2262.0
628,1141313,16000,2001,249.0
631,1141318,31000,2001,3502.0
632,1141319,35000,2002,3125.0
635,1141323,22500,2004,775.0
636,1141335,25000,2000,1254.0
637,1141337,61000,1999,7448.0
638,1141339,59000,2003,6590.0
639,1141346,16000,2007,447.0
641,1141353,110000,1997,16648.0
642,1141355,57000,1999,8510.0
643,1141358,45000,2001,15407.0
645,1141362,20500,2000,3675.0
646,1141365,13500,2003,1338.0
647,1141370,21500,1998,6381.0
650,1141388,20500,1997,8643.0
651,1141391,28500,1990,9316.0
652,1141394,44000,2000,5443.0
653,1141396,17500,1997,248.0
654,1141397,6750,1997,1041.0
655,1141400,32000,1991,2285.0
656,1141401,21500,1999,2839.0
657,1141403,49000,2003,7096.0
658,1141408,24000,1993,144.0
659,1141412,42000,2006,1413.0
660,1141413,15000,2001,437.0
663,1141428,17000,2002,367.0
664,1141438,27000,1993,11730.0
666,1141441,40000,1988,26477.0
667,1141442,23000,2005,13.0
668,1141445,36000,1999,8455.0
669,1141447,8500,1998,3986.0
670,1141449,29000,2002,3245.0
671,1141451,12000,1996,1247.0
672,1141453,17500,2000,7498.0
673,1141454,45000,2006,1122.0
674,1141457,96000,2007,2989.0
675,1141458,19000,1990,3566.0
677,1141465,80250,2003,3623.0
678,1141466,14500,2004,1347.0
679,1141467,102000,1999,16584.0
680,1141468,11500,2005,1189.0
681,1141470,35000,2004,1400.0
682,1141472,37000,2002,4633.0
684,1141474,16000,2002,1116.0
685,1141477,30000,1997,1518.0
686,1141480,27000,2000,1972.0
687,1141481,16500,2002,1425.0
688,1141482,24000,2001,12046.0
689,1141490,12000,2001,1245.0
690,1141491,30000,2001,1108.0
691,1141494,56000,2004,561.0
693,1141501,106000,2005,1814.0
696,1141513,47000,1998,6312.0
697,1141514,19500,2000,10410.0
698,1141515,17500,2003,359.0
699,1141516,21000,1989,5547.0
700,1141517,63000,1990,5673.0
701,1141518,11500,1999,1255.0
703,1141521,74000,2006,4001.0
704,1141525,38000,1996,10506.0
705,1141530,14500,1999,4712.0
706,1141536,51000,1998,11349.0
708,1141539,13500,2005,1708.0
709,1141547,16500,2004,302.0
710,1141553,66000,2008,11.0
711,1141559,53000,2001,6482.0
712,1141560,5000,2008,2444.0
713,1141572,10500,1981,5536.0
714,1141582,38500,1994,15870.0
715,1141584,19500,1998,4139.0
717,1141587,42000,2002,2309.0
718,1141588,36000,2003,2536.0
719,1141589,98000,2003,4475.0
723,1141595,24500,2006,398.0
725,1141598,61000,2002,4702.0
726,1141600,10500,1994,6927.0
727,1141601,46000,1998,9445.0
728,1141604,42000,1998,14799.0
729,1141611,25000,1998,4594.0
730,1141613,11000,2004,2965.0
732,1141624,9000,2001,1681.0
733,1141629,7500,1998,1767.0
735,1141635,24500,1996,5537.0
737,1141652,14000,2003,2044.0
738,1141659,27500,2002,1744.0
740,1141665,7000,1998,1570.0
741,1141669,7500,1998,1466.0
744,1141677,31000,2002,1318.0
745,1141678,32000,2002,2232.0
746,1141682,42500,1999,2181.0
747,1141683,14500,1970,1019.0
748,1141685,64000,2006,4639.0
749,1141686,65000,2001,7488.0
751,1141689,11500,1992,7087.0
752,1141690,82000,1993,28912.0
753,1141692,84000,2003,5397.0
757,1141712,73000,2004,1998.0
758,1141717,113000,2006,2213.0
759,1141726,10500,2002,2111.0
760,1141727,57000,2005,3740.0
761,1141728,46000,2001,3861.0
762,1141734,4750,1999,7620.0
763,1141739,52000,2005,4479.0
764,1141740,66000,2000,7252.0
765,1141742,37000,2005,8134.0
766,1141745,27500,1993,20317.0
767,1141749,43000,2002,6395.0
768,1141750,24000,2002,3647.0
769,1141753,16000,1995,15042.0
771,1141782,49000,1998,15259.0
772,1141784,39000,2003,3069.0
774,1141786,19500,1998,6551.0
775,1141790,19500,2005,3056.0
777,1141796,98000,2006,2987.0
780,1141805,16000,2000,2940.0
781,1141806,27000,1998,12646.0
782,1141809,16500,1995,3799.0
784,1141815,10000,1999,1257.0
786,1141818,19000,2006,1286.0
787,1141836,13000,1998,4006.0
788,1141848,29000,2006,2138.0
789,1141851,97000,2005,2277.0
791,1141856,26000,2003,4559.0
793,1141865,9500,2005,899.0
794,1141866,6250,1999,520.0
796,1141885,19000,2005,1197.0
797,1141886,12500,2003,783.0
798,1141888,23000,2005,2678.0
799,1141891,63000,2005,2056.0
800,1141892,14500,2003,1407.0
801,1141895,14000,2004,992.0
802,1141896,10000,2004,2370.0
804,1141900,47000,2005,2613.0
805,1141902,11500,2003,2574.0
806,1141903,67000,2001,5501.0
807,1141912,85000,2006,4012.0
808,1141914,77000,2006,2156.0
809,1141916,53000,1987,37796.0
810,1141923,11500,1999,1661.0
811,1141927,52500,2003,2900.0
812,1141934,27000,2001,4167.0
815,1141951,54000,2004,2960.0
817,1141967,57000,2006,2204.0
819,1141971,7500,1996,1445.0
820,1141975,12000,2000,507.0
821,1141978,94500,2004,6256.0
822,1141981,24000,1998,4866.0
823,1141989,30500,2006,2870.0
824,1141991,18000,1997,2555.0
825,1141996,18000,2004,523.0
826,1141997,21000,2004,53.0
827,1142002,13500,2005,4231.0
829,1142010,19500,1996,4288.0
830,1142015,12250,1998,793.0
831,1142017,28000,2004,7142.0
832,1142018,49000,1997,6344.0
833,1142021,27000,2004,2086.0
835,1142023,5250,1991,4257.0
837,1142037,25500,2001,2767.0
838,1142039,32000,2000,2402.0
839,1142040,41500,1990,5282.0
841,1142045,78000,2004,4226.0
842,1142046,12500,2005,1645.0
844,1142054,76000,2004,366.0
845,1142055,10500,2004,2682.0
846,1142056,26000,1997,2139.0
847,1142057,45000,2005,1300.0
849,1142068,19000,2002,583.0
850,1142074,8000,1997,2105.0
852,1142087,46000,2004,2759.0
853,1142093,30000,1998,7075.0
854,1142096,6750,1996,4703.0
858,1142107,37000,2006,3232.0
859,1142110,95000,2004,1609.0
860,1142111,35000,2003,2750.0
862,1142117,32500,1989,15840.0
864,1142122,32000,2004,817.0
865,1142123,74000,2005,3866.0
866,1142124,13500,2003,707.0
867,1142127,23000,1998,4544.0
868,1142134,47000,1999,11245.0
869,1142141,23500,1992,13031.0
870,1142142,70000,1998,7221.0
871,1142144,11500,1999,1213.0
873,1142149,12500,2003,2173.0
874,1142151,18500,2006,351.0
875,1142154,31000,2005,1272.0
876,1142158,18500,1998,1810.0
877,1142160,96000,2004,5659.0
878,1142163,15500,2001,1373.0
879,1142166,12500,1997,7731.0
882,1142172,9500,2001,1536.0
883,1142174,15500,2001,1009.0
884,1142175,24000,1993,8446.0
886,1142181,19500,2000,1492.0
887,1142182,42000,2004,4340.0
888,1142185,80000,2000,2738.0
889,1142188,33000,1998,5106.0
890,1142193,55000,1999,12523.0
891,1142194,35000,2003,1546.0
892,1142200,17500,2006,491.0
893,1142201,46000,2004,3680.0
896,1142212,15000,2002,87.0
897,1142214,48000,1995,4512.0
900,1142224,10500,2004,1790.0
901,1142225,46000,2001,718.0
903,1142231,42000,2001,3590.0
904,1142232,109000,1988,15752.0
905,1142237,17000,2000,1871.0
906,1142240,22000,1997,8986.0
907,1142244,12500,2004,426.0
908,1142247,96000,2008,398.0
909,1142248,18000,2003,1821.0
910,1142253,30000,2004,1777.0
911,1142260,47000,2004,6901.0
912,1142262,118000,1998,4969.0
914,1142272,18000,2003,9.0
916,1142277,34500,1999,4883.0
918,1142288,9250,1997,2015.0
919,1142293,39000,2003,4773.0
920,1142297,44000,2000,3855.0
921,1142301,101000,1998,507.0
922,1142303,40000,2005,1167.0
923,1142309,47000,1996,8959.0
924,1142310,39000,2001,8020.0
925,1142311,27000,2007,423.0
927,1142322,40000,1997,11556.0
928,1142323,36000,1994,20197.0
929,1142324,36000,1981,3682.0
930,1142328,47000,1998,17603.0
931,1142332,14500,2005,1591.0
933,1142343,90000,1991,2263.0
934,1142347,50000,2004,121.0
935,1142356,17000,2006,1310.0
936,1142358,24500,1999,2913.0
937,1142368,44000,1997,6074.0
938,1142369,46000,1999,8725.0
939,1142370,113000,2000,6250.0
940,1142373,42000,2004,7824.0
941,1142376,100000,2001,9793.0
942,1142378,8500,1997,2709.0
944,1142381,15000,1995,198.0
945,1142384,21500,2002,5932.0
947,1142387,32000,1995,6518.0
948,1142393,12500,2002,1523.0
949,1142395,45000,2006,2612.0
950,1142401,46000,1998,7908.0
951,1142405,77000,2008,1001.0
953,1142408,46000,2000,5610.0
954,1142413,36000,1998,21774.0
955,1142417,38000,2001,13432.0
956,1142418,13500,2004,2116.0
958,1142423,48000,1997,9331.0
959,1142425,33000,1999,10609.0
961,1142429,12000,1989,7970.0
962,1142431,15500,2004,552.0
963,1142432,15000,2000,987.0
964,1142434,16500,2002,2282.0
965,1142438,22500,2003,2552.0
966,1142444,35000,1977,571.0
967,1142445,23000,1993,6587.0
968,1142448,57000,2006,3101.0
969,1142450,15500,2001,1216.0
971,1142465,17000,1995,1227.0
972,1142469,13500,2003,755.0
973,1142476,14000,2001,368.0
974,1142478,10000,2006,1129.0
975,1142487,12500,1999,1521.0
976,1142489,23000,2005,185.0
978,1142498,47000,1999,7541.0
979,1142499,12000,2004,620.0
980,1142506,16500,2004,736.0
981,1142515,87000,2003,2970.0
982,1142519,15000,2003,1289.0
985,1142540,79000,2004,1608.0
986,1142542,46000,1998,4235.0
987,1142544,28500,2004,96.0
988,1142548,64000,2002,3091.0
989,1142550,7000,2001,68.0
990,1142552,15500,1993,14808.0
991,1142553,56000,1993,19115.0
992,1142561,15000,2003,4237.0
993,1142563,18500,2005,1654.0
994,1142565,48500,2002,2992.0
995,1142566,33000,2005,3759.0
996,1142567,62000,2005,1290.0
997,1142568,8000,1998,1865.0
998,1142577,16000,2004,851.0
999,1142582,14500,2006,2750.0
1000,1142591,30500,1992,22925.0
1002,1142594,64000,1997,4443.0
1003,1142597,25000,2000,1155.0
1005,1142605,29000,2000,3249.0
1006,1142608,97000,2004,3945.0
1008,1142623,26000,1998,4397.0
1009,1142625,15500,1994,3850.0
1010,1142631,74000,1998,3005.0
1011,1142634,14000,2003,78.0
1013,1142639,15500,2001,2299.0
1014,1142640,83000,1999,6848.0
1015,1142644,20500,2006,155.0
1016,1142648,13500,2001,488.0
1017,1142649,18000,1996,5403.0
1018,1142650,45000,2006,2373.0
1019,1142651,11500,2001,1371.0
1020,1142654,31000,2006,2246.0
1021,1142655,52000,1999,3415.0
1023,1142657,13500,2007,154.0
1025,1142664,26000,1991,8304.0
1027,1142667,27500,1999,764.0
1028,1142668,10000,1988,4577.0
1029,1142669,11000,2004,779.0
1030,1142670,11000,2004,2044.0
1032,1142673,37500,2004,5278.0
1033,1142676,18000,2005,1689.0
1034,1142678,24500,1995,9506.0
1035,1142681,18500,2003,349.0
1036,1142693,10500,2003,483.0
1037,1142696,30000,1995,5141.0
1038,1142698,17500,1994,4610.0
1039,1142701,78000,2000,6943.0
1040,1142702,19000,1996,7820.0
1041,1142703,35000,2005,1335.0
1042,1142705,26000,1997,5848.0
1043,1142706,17500,2004,312.0
1045,1142714,25000,1996,1828.0
1046,1142725,10000,2006,1185.0
1048,1142731,30000,1994,15984.0
1053,1142757,49000,2005,4946.0
1054,1142760,17500,2006,960.0
1056,1142784,90000,1993,30360.0
1057,1142791,12000,2000,1306.0
1058,1142792,55000,1997,5867.0
1060,1142800,13500,2000,1507.0
1061,1142803,11000,1988,6490.0
1063,1142817,43000,2004,6197.0
1064,1142821,13000,2005,2058.0
1065,1142822,18500,2004,610.0
1068,1142831,54000,1992,5695.0
1070,1142836,46000,2004,3171.0
