,Northeast,South,West,YearMade,MachineHoursCurrentMeter,fiProductClassDesc,SalePrice
94,0,1,0,2006,917.0,8.0,10500
95,0,0,0,2005,1045.0,4.0,24500
96,0,1,0,2005,4725.0,12.0,44000
97,0,1,0,2006,6484.0,4.0,39000
98,0,0,1,1988,6386.0,3.0,60000
99,1,0,0,2000,2083.0,2.0,25500
100,0,1,0,2005,1776.0,2.0,27000
101,1,0,0,2002,1656.0,1.0,27000
102,0,1,0,1997,5598.0,2.0,20000
103,0,1,0,2002,3484.0,3.0,9500
104,0,1,0,2005,1526.0,2.0,14500
105,0,0,1,2004,2260.0,5.0,10500
106,0,1,0,2004,1897.0,2.0,54000
107,0,1,0,2000,2364.0,8.0,46000
108,0,1,0,1971,804.0,10.0,16000
109,0,1,0,2002,3001.0,2.0,28000
110,0,0,1,2000,7862.0,10.0,22000
111,0,1,0,1978,3276.0,2.0,40000
112,0,1,0,2000,8904.0,9.0,16000
113,1,0,0,1996,6576.0,9.0,19500
114,0,1,0,2005,156.0,6.0,63000
115,0,1,0,1999,8230.0,4.0,126000
116,0,1,0,2001,6259.0,6.0,40000
117,0,1,0,2001,1294.0,2.0,29000
118,0,1,0,1999,8690.0,8.0,49000
119,0,0,1,1980,6388.0,1.0,17000
120,0,0,1,1997,13372.0,9.0,30500
121,1,0,0,2001,136.0,5.0,16500
122,0,0,1,2006,2942.0,15.0,84000
123,0,0,1,2004,1785.0,2.0,26000
124,0,1,0,1998,9270.0,16.0,45000
125,0,1,0,1999,2044.0,2.0,22000
126,0,0,0,1998,3269.0,2.0,19500
127,0,1,0,2005,836.0,2.0,15000
128,0,1,0,2002,3026.0,11.0,94000
129,0,1,0,2001,7091.0,2.0,47000
130,0,1,0,2000,3122.0,2.0,24000
131,0,1,0,2004,4659.0,16.0,66000
132,0,0,0,2001,188.0,4.0,12500
133,0,1,0,2003,1617.0,1.0,41000
134,0,0,1,1989,1336.0,14.0,14000
135,0,0,0,2002,7861.0,3.0,27500
136,0,0,0,1998,3637.0,2.0,32000
137,0,1,0,1997,5678.0,2.0,25500
138,0,1,0,2004,2590.0,7.0,27000
139,0,1,0,2001,3059.0,1.0,29000
140,0,1,0,2002,6197.0,1.0,37000
141,0,0,1,1980,3985.0,7.0,12000
142,0,1,0,2002,5657.0,16.0,76000
143,0,1,0,1997,13305.0,5.0,39000
144,0,0,1,2001,2578.0,4.0,31000
145,0,0,1,1993,13048.0,6.0,66000
146,0,1,0,2006,51.0,2.0,17000
147,0,1,0,2006,844.0,7.0,14000
148,0,1,0,2004,2178.0,6.0,10000
149,0,0,0,2006,2537.0,6.0,11000
150,0,1,0,2005,906.0,6.0,43000
151,0,0,1,2004,1614.0,10.0,60000
152,0,0,0,2001,5268.0,2.0,27000
153,0,1,0,2006,8.0,4.0,23500
154,0,1,0,2001,1012.0,2.0,31500
155,0,1,0,2000,3537.0,2.0,22500
156,0,0,0,1998,7190.0,6.0,127000
157,0,1,0,2000,1314.0,2.0,21500
158,0,1,0,2000,890.0,5.0,27500
159,0,1,0,2002,2743.0,6.0,36000
160,0,0,1,2001,2401.0,4.0,36000
161,0,1,0,2000,1380.0,2.0,20500
162,0,0,1,2007,1034.0,8.0,13000
163,1,0,0,2001,1204.0,7.0,14000
164,0,0,0,1996,2578.0,2.0,32500
165,0,1,0,2005,2300.0,4.0,19000
166,0,0,1,2006,2657.0,9.0,31000
167,0,0,1,1989,29374.0,15.0,61000
168,0,1,0,2004,555.0,4.0,12500
169,0,1,0,2005,3707.0,12.0,40000
170,0,1,0,2005,721.0,2.0,48000
171,0,0,0,2003,642.0,7.0,17000
172,0,0,1,2005,2493.0,3.0,26500
173,0,1,0,1979,7456.0,10.0,27000
174,0,1,0,2002,3295.0,3.0,10000
175,1,0,0,2005,2848.0,16.0,102000
176,0,1,0,2005,400.0,2.0,15500
177,0,1,0,2002,1505.0,7.0,56000
178,0,0,1,2002,2551.0,2.0,38000
179,0,1,0,2002,5494.0,5.0,82000
180,0,1,0,1997,6658.0,3.0,27000
181,0,1,0,1998,12785.0,10.0,46000
182,0,0,0,1998,5813.0,3.0,46000
183,0,1,0,1998,2585.0,3.0,28500
184,0,1,0,2004,1079.0,5.0,9500
185,0,1,0,2000,1030.0,5.0,12500
186,0,0,0,2005,97.0,1.0,18000
187,0,1,0,2000,5525.0,12.0,53000
188,0,0,1,1997,1121.0,15.0,25500
189,1,0,0,1995,5468.0,15.0,33000
190,0,0,1,2004,1843.0,9.0,34000
191,1,0,0,2002,1703.0,7.0,12500
192,0,1,0,2000,1813.0,5.0,9750
193,0,0,0,2003,3272.0,1.0,30000
194,0,0,0,1976,2571.0,10.0,26500
195,1,0,0,2002,4231.0,2.0,36000
196,0,0,1,2006,422.0,14.0,99000
197,0,1,0,1999,2914.0,2.0,29000
198,0,1,0,2005,1187.0,11.0,85000
199,0,0,0,1992,2963.0,3.0,24500
200,0,0,0,2003,891.0,9.0,18000
201,0,1,0,1997,16707.0,11.0,36000
202,0,0,1,1994,11578.0,5.0,8500
203,0,1,0,2002,6292.0,15.0,20500
204,0,1,0,2000,6681.0,16.0,61000
205,1,0,0,1997,10154.0,18.0,42000
206,0,0,1,2003,1862.0,3.0,39000
207,0,1,0,2001,3850.0,7.0,9500
208,0,0,1,2006,970.0,2.0,24000
209,0,1,0,2007,2092.0,8.0,71000
210,0,1,0,1999,1719.0,8.0,12000
211,0,1,0,2005,993.0,10.0,71000
212,1,0,0,2006,3337.0,13.0,75000
213,0,0,0,1982,8128.0,8.0,18000
214,0,1,0,1997,7654.0,3.0,14500
215,0,0,0,1996,3117.0,7.0,8500
216,0,1,0,2003,275.0,2.0,30500
217,0,1,0,1998,2750.0,6.0,25000
218,0,1,0,1976,342.0,10.0,20500
219,0,0,1,2004,6021.0,3.0,36000
220,0,0,0,1994,7482.0,12.0,27000
221,0,0,1,1998,14967.0,12.0,81000
222,0,1,0,2001,7099.0,13.0,75000
223,1,0,0,2007,2213.0,9.0,35500
224,0,1,0,2001,9224.0,4.0,30000
225,0,0,1,2006,2189.0,5.0,52000
226,0,1,0,2005,763.0,1.0,39000
227,0,1,0,2000,9519.0,12.0,42000
228,0,0,0,1998,2961.0,4.0,23000
229,0,0,1,2004,2252.0,5.0,11000
230,0,0,1,2005,130.0,3.0,17000
231,0,1,0,1994,6699.0,16.0,77000
232,0,1,0,2000,1666.0,2.0,34000
233,0,0,1,2005,2647.0,15.0,77000
234,0,0,1,2004,1601.0,2.0,19500
235,0,1,0,2005,759.0,1.0,18500
236,0,0,0,2001,1596.0,2.0,14000
237,0,0,1,2007,970.0,9.0,54000
238,0,1,0,2002,6290.0,1.0,38000
239,0,1,0,2006,2977.0,7.0,97000
240,0,0,1,2004,3478.0,4.0,121000
241,0,0,1,2002,7052.0,17.0,109000
242,0,0,0,2001,908.0,6.0,14000
243,0,1,0,2004,1374.0,1.0,33000
244,0,0,0,2005,675.0,2.0,16000
245,0,1,0,1996,11604.0,3.0,26000
246,0,0,1,1994,4650.0,1.0,11500
247,0,1,0,2000,1260.0,2.0,36000
248,0,0,1,2003,6109.0,16.0,40000
249,0,0,1,1999,868.0,9.0,13500
250,0,1,0,1990,1145.0,15.0,10000
251,0,0,0,2007,1362.0,4.0,33000
252,0,1,0,2001,5101.0,3.0,45000
253,0,0,0,1998,3550.0,3.0,34000
254,0,1,0,2000,9003.0,16.0,86000
255,0,0,1,2000,4050.0,2.0,24500
256,0,0,0,2005,407.0,3.0,23000
257,0,0,1,2004,1426.0,4.0,10000
258,0,0,0,2005,8995.0,14.0,89000
259,0,0,0,2002,2895.0,7.0,11500
260,0,0,1,1997,7859.0,13.0,37000
261,0,1,0,2005,1470.0,2.0,26000
262,0,0,0,2001,1344.0,2.0,38000
263,1,0,0,2001,800.0,3.0,30500
264,0,0,0,2000,1539.0,9.0,17500
265,0,1,0,2003,505.0,2.0,9000
266,0,1,0,1993,6924.0,2.0,12500
267,0,0,1,1989,7115.0,13.0,13000
268,0,0,0,1997,28112.0,16.0,18500
269,1,0,0,2002,616.0,6.0,16500
270,0,1,0,1991,6181.0,12.0,62500
271,0,0,1,1998,3075.0,2.0,23000
272,0,1,0,2000,8467.0,10.0,58000
273,0,0,1,2003,2126.0,5.0,12500
274,0,1,0,2004,399.0,2.0,14750
275,0,1,0,2005,1877.0,10.0,68000
276,0,1,0,1999,7066.0,5.0,10000
277,0,0,0,1997,6349.0,9.0,36000
278,0,0,0,2006,1418.0,2.0,50000
279,0,1,0,2002,18196.0,10.0,53000
280,0,0,1,1997,5007.0,4.0,68000
281,0,1,0,2007,120.0,1.0,11000
282,0,0,0,1999,1255.0,2.0,41000
283,0,1,0,2004,1068.0,3.0,72000
284,0,1,0,2001,5130.0,3.0,26500
285,0,1,0,2005,559.0,1.0,53000
286,0,0,0,2000,7990.0,4.0,141000
287,0,0,0,2001,527.0,1.0,9500
288,0,1,0,2004,502.0,7.0,11000
289,0,1,0,1995,8675.0,1.0,21500
290,0,1,0,2006,2289.0,2.0,28500
291,0,0,0,2001,2464.0,4.0,19500
292,0,1,0,2001,1793.0,5.0,93000
293,0,1,0,2004,1968.0,6.0,9500
294,0,0,0,1999,1040.0,7.0,10000
295,0,1,0,1996,10672.0,17.0,13500
296,0,1,0,2008,135.0,1.0,11350
297,0,0,1,1996,13463.0,16.0,37000
298,0,0,1,1994,24827.0,15.0,72000
299,0,1,0,2005,4678.0,3.0,23000
300,0,0,0,1994,4170.0,9.0,32000
301,0,1,0,2004,906.0,1.0,37000
302,0,1,0,2002,2179.0,8.0,59000
303,0,0,1,2005,10925.0,5.0,11000
304,0,1,0,1994,9443.0,13.0,32500
305,0,1,0,2004,9072.0,17.0,67000
306,0,1,0,2000,1657.0,2.5,18000
307,0,1,0,2000,2460.0,2.0,31500
308,0,1,0,2000,2929.0,2.0,37000
309,0,1,0,1995,14002.0,7.0,72000
310,0,0,1,2002,2784.0,11.0,72000
311,0,0,1,2002,11778.0,17.0,40000
312,0,0,1,2001,1316.0,6.0,6000
313,0,0,0,2004,2197.0,2.0,38500
314,0,1,0,1999,2820.0,3.0,19500
315,0,1,0,2005,926.0,6.0,11000
316,0,0,1,1992,847.0,15.0,32000
317,0,1,0,2002,2764.0,6.0,89000
318,0,0,0,2003,1033.0,7.0,15000
319,0,0,1,2000,7543.0,17.0,95000
320,0,1,0,2007,2338.0,9.0,61000
321,0,1,0,1998,9201.0,16.0,64000
322,0,1,0,2002,6137.0,5.0,78000
323,0,1,0,2004,1575.0,1.0,36000
324,0,1,0,1997,12682.0,10.0,57000
325,1,0,0,2000,7541.0,15.0,28000
326,0,1,0,1995,5811.0,4.0,18000
327,0,1,0,2002,2161.0,2.0,7500
328,1,0,0,2001,7361.0,10.0,23500
329,0,0,0,2003,907.0,5.0,14000
330,0,0,0,1998,3723.0,3.0,31500
331,0,1,0,2003,1659.0,5.0,62000
332,0,0,0,1995,35782.0,10.0,49000
333,0,0,1,2004,6.0,1.0,18000
334,0,1,0,2004,3068.0,7.0,9000
335,0,0,0,1999,9189.0,16.0,40000
336,0,0,0,1999,852.0,1.0,6250
337,0,1,0,2004,3593.0,8.0,35000
338,0,0,1,2004,5850.0,6.0,17000
339,0,1,0,2000,5193.0,2.0,28500
340,0,1,0,1999,12827.0,13.0,95000
341,0,0,0,1997,4729.0,9.0,44000
342,0,1,0,2002,4559.0,14.0,24000
343,0,1,0,1989,5225.0,3.0,19000
344,0,1,0,2005,3150.0,13.0,34000
345,0,1,0,1996,12759.0,19.0,43000
346,0,0,1,1997,6073.0,3.0,15000
347,0,1,0,2006,201.0,6.0,18500
348,0,1,0,1995,17309.0,8.0,48000
349,1,0,0,2004,739.0,6.0,10000
350,0,1,0,2005,2288.0,13.0,65000
351,0,0,1,2005,2396.0,3.0,34000
352,0,1,0,2000,3600.0,4.0,51000
353,0,1,0,1996,914.0,13.0,44000
354,0,1,0,2000,9132.0,8.0,25000
355,0,0,1,2005,6997.0,3.0,37000
356,0,0,1,2002,2207.0,1.0,16500
357,0,0,1,2005,996.0,2.0,29000
358,0,0,0,1999,1759.0,1.0,8000
359,0,1,0,2004,4745.0,1.0,25500
360,0,0,1,2002,2393.0,5.0,6750
361,0,0,1,2005,469.0,5.0,18500
362,0,1,0,1991,6820.0,11.0,19000
363,0,1,0,2005,1630.0,3.0,30000
364,0,1,0,1998,1694.0,3.0,13000
365,0,0,0,2000,6495.0,15.0,57000
366,1,0,0,2003,1819.0,1.0,25500
367,0,0,1,2000,6108.0,2.0,11500
368,1,0,0,2006,1971.0,11.0,37000
369,0,0,1,2001,5046.0,13.0,69000
370,0,1,0,1996,8303.0,5.0,34000
371,0,1,0,1998,11709.0,8.0,29000
372,0,1,0,1999,4034.0,2.0,18000
373,0,0,0,2004,244.0,9.0,19000
374,0,1,0,2005,1185.0,2.0,12000
375,0,1,0,2004,9275.0,17.0,89000
376,0,1,0,2004,453.0,1.0,40000
377,0,1,0,1996,644.0,3.0,13000
378,0,1,0,1993,11369.0,3.0,74000
379,0,1,0,2006,2605.0,10.0,87000
380,0,0,0,1997,4655.0,11.0,50500
381,0,0,1,2005,2295.0,6.0,8000
382,0,1,0,2004,1669.0,2.0,38000
383,0,1,0,2001,5232.0,8.0,62000
384,0,1,0,2005,8677.0,12.0,74000
385,0,1,0,2001,1055.0,9.0,18500
386,0,0,1,2003,209.0,5.0,17500
387,0,0,1,2005,2771.0,2.0,33000
388,1,0,0,2005,10946.0,15.0,70000
389,0,0,0,2002,1723.0,18.0,23000
390,0,1,0,2003,6984.0,17.0,64000
391,0,0,1,1988,6648.0,15.0,17000
392,0,0,0,2005,360.0,5.0,13500
393,0,1,0,1999,1866.0,2.0,26000
394,0,1,0,2005,171.0,2.0,19500
395,0,1,0,1996,2102.0,6.0,5000
396,0,1,0,2002,3023.0,10.0,66000
397,0,1,0,1999,2378.0,6.0,24000
398,0,1,0,2004,3120.0,2.0,24500
399,0,1,0,1997,9224.0,3.0,13500
400,0,0,1,2005,321.0,5.0,14500
401,0,0,1,2003,3308.0,2.0,20500
402,0,0,1,2002,5859.0,6.0,48500
403,0,1,0,2007,2584.0,17.0,102000
404,0,0,1,2005,1725.0,3.0,50000
405,0,0,1,2006,1077.0,8.0,15000
406,1,0,0,1987,15260.0,8.0,45000
407,0,0,0,2007,1535.0,9.0,17500
408,0,1,0,2005,406.0,8.0,79000
409,0,1,0,2004,1770.0,5.0,11500
410,0,1,0,1994,7948.0,8.0,99000
411,1,0,0,1996,9956.0,6.0,14500
412,0,1,0,1991,1566.0,9.0,25000
413,0,0,1,2004,661.0,5.0,13000
414,0,1,0,1996,7259.0,12.0,44000
415,0,0,0,1989,1033.0,4.0,25000
416,0,0,1,1997,4844.0,4.0,11000
417,0,0,1,2006,3183.0,16.0,71000
418,0,1,0,2005,776.0,8.0,12500
419,0,1,0,2005,2559.0,8.0,55000
420,0,1,0,1997,3748.0,13.0,56000
421,0,1,0,2004,5169.0,19.0,88000
422,0,0,0,1999,16608.0,8.0,30000
423,0,1,0,1978,26372.0,15.0,30000
424,1,0,0,2003,191.0,6.0,70000
425,0,1,0,2000,3311.0,2.0,23500
426,0,1,0,2004,2224.0,6.0,12000
427,0,1,0,2000,2122.0,1.0,25500
428,0,0,0,2002,147.0,1.0,18000
429,0,0,0,1999,3428.0,7.0,11000
430,0,1,0,2005,214.0,2.0,23000
431,0,1,0,2002,1202.0,6.0,14500
432,0,1,0,2000,6126.0,11.0,84000
433,0,1,0,2002,1558.0,7.0,18000
434,0,0,0,1998,15996.0,15.0,70000
435,0,1,0,2004,1947.0,2.0,26000
436,0,0,1,2000,10427.0,16.0,43000
437,0,0,1,1999,8557.0,12.0,34000
438,0,1,0,2002,5508.0,3.0,43000
439,0,1,0,1993,1056.0,7.0,10000
440,0,0,0,2002,293.0,4.0,13500
441,0,1,0,2005,253.0,1.0,55000
442,0,0,1,2003,6184.0,8.0,56000
443,0,1,0,2001,4272.0,2.0,29000
444,0,0,0,2006,37.0,3.0,24000
445,0,0,0,2005,2513.0,8.0,35000
446,0,0,1,2007,123.0,2.0,33000
447,0,1,0,2003,220.0,2.0,30500
448,0,1,0,2000,4997.0,2.0,119000
449,0,1,0,2003,11751.0,18.0,87500
450,0,0,1,1979,21148.0,15.0,30000
451,0,1,0,2002,487.0,5.0,15500
452,0,0,1,2000,1813.0,2.0,28500
453,0,1,0,1999,4269.0,2.0,25000
454,0,0,0,2000,3242.0,9.0,47000
455,0,1,0,1983,3624.0,2.0,43000
456,0,1,0,2006,1628.0,15.0,83000
457,0,0,0,2002,10418.0,14.0,65000
458,0,1,0,2003,956.0,1.0,32000
459,0,0,1,2000,10097.0,15.0,39000
460,0,1,0,1993,7756.0,2.0,13500
461,0,0,1,2004,1550.0,2.0,28000
462,0,0,1,2002,3876.0,2.0,26500
463,0,1,0,2001,1918.0,2.0,34000
464,0,1,0,2001,5247.0,15.0,47000
465,0,0,0,2001,848.0,5.0,10000
466,0,0,0,1998,1788.0,5.0,77000
467,0,0,0,2003,575.0,5.0,10500
468,0,1,0,2006,2357.0,1.0,12500
469,1,0,0,2006,1582.0,3.0,46000
470,0,1,0,1997,5788.0,6.0,83000
471,0,0,1,2000,2148.0,2.0,36000
472,0,1,0,2004,8930.0,2.0,128000
473,0,1,0,1998,1899.0,8.0,10500
474,1,0,0,2003,88.0,1.0,18000
475,0,1,0,2001,5725.0,10.0,17000
476,0,0,1,2004,2120.0,13.0,86000
477,0,1,0,2000,2269.0,2.0,19000
478,0,1,0,2005,1031.0,1.0,18000
479,0,1,0,2007,2248.0,4.0,68000
480,0,1,0,2003,3237.0,5.0,6500
481,0,0,1,2002,7738.0,7.0,12000
482,0,1,0,2002,2262.0,3.0,37000
483,0,1,0,2001,249.0,4.0,16000
484,0,0,1,2001,3502.0,2.0,31000
485,0,1,0,2002,3125.0,2.0,35000
486,0,1,0,2004,775.0,3.0,22500
487,0,1,0,2000,1254.0,2.0,25000
488,0,1,0,1999,7448.0,11.0,61000
489,0,1,0,2003,6590.0,8.0,59000
490,0,1,0,2007,447.0,8.0,16000
491,0,0,1,1997,16648.0,4.0,110000
492,0,0,0,1999,8510.0,6.0,57000
493,0,0,0,2001,15407.0,14.0,45000
494,0,1,0,2000,3675.0,3.0,20500
495,0,1,0,2003,1338.0,3.0,13500
496,0,0,1,1998,6381.0,9.0,21500
497,0,0,0,1997,8643.0,14.0,20500
498,0,0,0,1990,9316.0,10.0,28500
499,0,1,0,2000,5443.0,13.0,44000
500,0,0,0,1997,248.0,4.0,17500
501,0,0,1,1997,1041.0,5.0,6750
502,0,1,0,1991,2285.0,2.0,32000
503,0,1,0,1999,2839.0,2.0,21500
504,0,0,0,2003,7096.0,10.0,49000
505,0,1,0,1993,144.0,17.0,24000
506,0,1,0,2006,1413.0,1.0,42000
507,0,1,0,2001,437.0,6.0,15000
508,0,1,0,2002,367.0,7.0,17000
509,0,1,0,1993,11730.0,5.0,27000
510,1,0,0,1988,26477.0,16.0,40000
511,0,1,0,2005,13.0,1.0,23000
512,0,0,0,1999,8455.0,5.0,36000
513,0,0,0,1998,3986.0,6.0,8500
514,0,0,0,2002,3245.0,2.0,29000
515,0,0,0,1996,1247.0,8.0,12000
516,1,0,0,2000,7498.0,2.0,17500
517,1,0,0,2006,1122.0,3.0,45000
518,0,1,0,2007,2989.0,13.0,96000
519,1,0,0,1990,3566.0,4.0,19000
520,0,1,0,2003,3623.0,11.0,80250
521,0,0,1,2004,1347.0,3.0,14500
522,0,0,1,1999,16584.0,19.0,102000
523,0,1,0,2005,1189.0,5.0,11500
524,0,1,0,2004,1400.0,1.0,35000
525,1,0,0,2002,4633.0,2.0,37000
526,0,1,0,2002,1116.0,9.0,16000
527,0,1,0,1997,1518.0,1.0,30000
528,1,0,0,2000,1972.0,2.0,27000
529,0,1,0,2002,1425.0,3.0,16500
530,0,1,0,2001,12046.0,8.0,24000
531,1,0,0,2001,1245.0,5.0,12000
532,1,0,0,2001,1108.0,9.0,30000
533,0,1,0,2004,561.0,7.0,56000
534,0,1,0,2005,1814.0,13.0,106000
535,0,0,1,1998,6312.0,10.0,47000
536,0,1,0,2000,10410.0,3.0,19500
537,0,0,0,2003,359.0,5.0,17500
538,1,0,0,1989,5547.0,16.0,21000
539,0,1,0,1990,5673.0,3.0,63000
540,0,1,0,1999,1255.0,5.0,11500
541,0,0,1,2006,4001.0,15.0,74000
542,0,0,1,1996,10506.0,10.0,38000
543,1,0,0,1999,4712.0,12.0,14500
544,0,1,0,1998,11349.0,8.0,51000
545,0,1,0,2005,1708.0,5.0,13500
546,0,0,1,2004,302.0,5.0,16500
547,0,1,0,2008,11.0,9.0,66000
548,1,0,0,2001,6482.0,8.0,53000
549,0,1,0,2008,2444.0,5.0,5000
550,1,0,0,1981,5536.0,1.0,10500
551,0,1,0,1994,15870.0,17.0,38500
552,0,0,1,1998,4139.0,2.0,19500
553,0,1,0,2002,2309.0,1.0,42000
554,0,0,1,2003,2536.0,2.0,36000
555,1,0,0,2003,4475.0,15.0,98000
556,0,1,0,2006,398.0,1.0,24500
557,0,0,0,2002,4702.0,4.0,61000
558,0,1,0,1994,6927.0,2.0,10500
559,0,1,0,1998,9445.0,9.0,46000
560,0,1,0,1998,14799.0,16.0,42000
561,0,1,0,1998,4594.0,9.0,25000
562,0,1,0,2004,2965.0,4.0,11000
563,0,0,1,2001,1681.0,2.0,9000
564,0,0,0,1998,1767.0,5.0,7500
565,0,0,0,1996,5537.0,14.0,24500
566,0,1,0,2003,2044.0,8.0,14000
567,0,0,0,2002,1744.0,1.0,27500
568,0,0,0,1998,1570.0,5.0,7000
569,0,1,0,1998,1466.0,4.0,7500
570,0,1,0,2002,1318.0,2.0,31000
571,0,1,0,2002,2232.0,2.0,32000
572,0,0,1,1999,2181.0,3.0,42500
573,0,1,0,1970,1019.0,5.0,14500
574,0,0,1,2006,4639.0,15.0,64000
575,0,1,0,2001,7488.0,17.0,65000
576,0,1,0,1992,7087.0,2.0,11500
577,0,1,0,1993,28912.0,16.0,82000
578,0,1,0,2003,5397.0,11.0,84000
579,0,0,0,2004,1998.0,8.0,73000
580,0,0,1,2006,2213.0,5.0,113000
581,0,1,0,2002,2111.0,2.0,10500
582,0,0,1,2005,3740.0,14.0,57000
583,1,0,0,2001,3861.0,9.0,46000
584,0,0,0,1999,7620.0,8.0,4750
585,0,0,0,2005,4479.0,13.0,52000
586,0,1,0,2000,7252.0,15.0,66000
587,0,1,0,2005,8134.0,8.0,37000
588,0,1,0,1993,20317.0,8.0,27500
589,0,1,0,2002,6395.0,10.0,43000
590,0,1,0,2002,3647.0,2.0,24000
591,0,1,0,1995,15042.0,15.0,16000
592,0,1,0,1998,15259.0,17.0,49000
593,0,1,0,2003,3069.0,2.0,39000
594,0,0,0,1998,6551.0,2.0,19500
595,0,0,1,2005,3056.0,6.0,19500
596,0,1,0,2006,2987.0,16.0,98000
597,0,1,0,2000,2940.0,4.0,16000
598,0,0,0,1998,12646.0,6.0,27000
599,0,1,0,1995,3799.0,2.0,16500
600,1,0,0,1999,1257.0,5.0,10000
601,0,1,0,2006,1286.0,1.0,19000
602,0,1,0,1998,4006.0,1.0,13000
603,0,1,0,2006,2138.0,3.0,29000
604,0,1,0,2005,2277.0,17.0,97000
605,0,1,0,2003,4559.0,5.0,26000
606,0,1,0,2005,899.0,5.0,9500
607,0,0,0,1999,520.0,6.0,6250
608,0,1,0,2005,1197.0,4.0,19000
